Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
1.30E+10,"Nov 27, 2024, 3:16:50 PM",Night Walk,Walk,,184107,0.4,,,FALSE,,,activities/13013310892.gpx,,,184107,314,406.5,2.96,1.295,16.9,16.9,-1.9,15.6,11,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.002,0,,,,476,,,,,,,,,,,,,
1.36E+10,"Feb 11, 2025, 6:00:20 PM",qatar walk,Walk,,3922,4.37,,,FALSE,,,activities/13601912296.gpx,,,3922,3743,4374.7,9.36,1.169,12.4,12.4,19.7,33.4,29,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.115,0,,,,6066,,,,,,,,,,,,,
1.38E+10,"Mar 6, 2025, 2:49:41 PM",first run,Run,,2747,3.15,,,FALSE,,,activities/13806017411.gpx,,,2747,2019,3157.4,4.78,1.564,41.8,41.8,-2.8,17.9,29,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,3280.9,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.149,0,,,,3964,,,,,1.625,,,,,,,,
1.38E+10,"Mar 10, 2025, 12:15:10 PM",Evening Walk,Walk,,8027,6.65,,,FALSE,,,activities/13842830417.gpx,,,8027,4921,6649.5,12.56,1.351,77.1,77.1,-5.8,18,45.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.828,0,,,,7172,,,,,,,,,,,,,
1.40E+10,"Mar 27, 2025, 1:22:05 PM",Evening Walk,Walk,,6399,6.03,,,FALSE,,,activities/14002653886.gpx,,,6399,4093,6033.9,14.7,1.474,74.1,79.8,-4.2,17.9,33.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.943,0,,,,6048,,,,,,,,,,,,,
1.42E+10,"Apr 12, 2025, 2:10:11 PM",Evening Walk,Walk,,8510,5.23,,,FALSE,,,activities/14157421909.gpx,,,8510,4411,5229.1,8.47,1.185,49.9,49.9,-5.6,18,28.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.614,0,,,,6366,,,,,,,,,,,,,
1.61E+10,"Oct 8, 2025, 1:54:09 PM",.,Walk,,2789,8.82,,,FALSE,,,activities/16075257420.gpx,,,2789,1552,8819.4,23.64,5.683,39.9,40.4,-25,7,25.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.162,0,,,,2594,0,,,,,,,0,,,,,
1.61E+10,"Oct 9, 2025, 4:53:23 AM",Morning Walk,Walk,,2389,7.04,,,FALSE,,,activities/16081910978.gpx,,,2389,908,7045,28.95,7.759,43.3,42.5,-8.7,17.9,47.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.949,0,,,,2404,0,,,,,,,,,,,,
1.61E+10,"Oct 9, 2025, 1:52:45 PM",Evening Walk,Walk,,3170,8.39,,,FALSE,,,activities/16086054788.gpx,,,3170,1686,8390.9,30.915,4.977,68.1,69.8,-24,7.2,31.3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.647,0,,,,2714,0,,,,,,,,,,,,
1.61E+10,"Oct 10, 2025, 4:44:50 AM",Morning Walk,Walk,,2320,7.38,,,FALSE,,,activities/16092253934.gpx,,,2320,1153,7380.6,43.665,6.401,44.4,49.8,-24,6.8,47.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.181,0,,,,2652,0,,,,,,,,,,,,
1.61E+10,"Oct 10, 2025, 1:18:56 PM",Afternoon Walk,Walk,,2237,7.97,,,FALSE,,,activities/16096197643.gpx,,,2237,1212,7971.9,27.915,6.577,68.9,69.1,-24,7.2,36.4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.564,0,,,,2262,0,,,,,,,,,,,,
1.61E+10,"Oct 10, 2025, 2:40:22 PM",Evening Walk,Walk,,4568,1.26,,,FALSE,,,activities/16096897897.gpx,,,4568,889,1259.4,9.383,1.417,8,6.1,-6,2.2,48.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276,0,,,,2042,0,,,,,,,,,,,,
1.61E+10,"Oct 12, 2025, 2:34:43 AM",Morning Ride,Ride,,8363,122.27,,,FALSE,,,activities/16112382229.gpx,,9,8363,6643,122273,37.56,18.406,708.6,699.6,-12.9,54.4,45.5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.621,0,,,,,0,,,,,,,,,,,,
1.61E+10,"Oct 12, 2025, 12:56:37 PM",Evening Ride,Ride,,5304,53.01,,,FALSE,,,activities/16118076669.gpx,,9,5304,4442,53011.2,32.78,11.934,376.4,389,-18,28,39,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.995,0,,,,,0,,,,,,,,,,,,
1.61E+10,"Oct 14, 2025, 4:43:47 AM",Morning Walk,Walk,,2285,7.57,,,FALSE,,,activities/16133921436.gpx,,,2285,1053,7573.4,29.425,7.192,36.2,35.8,-11.1,7.2,12.9,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.314,0,,,,1224,0,,,,,,,,,,,,
1.61E+10,"Oct 14, 2025, 1:48:04 PM",Evening Ride,Ride,,3255,6.87,,,FALSE,,,activities/16138332726.gpx,,9,3255,974,6878.7,25.18,7.062,17.7,18.6,-14,5.4,14.6,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1760446800,1,33.2,33.9,20.4,0.47,1008.8,5.3,7.5,312,0,1760408209,1760449975,0.75,,,0,1,0,22203,0,,,,,,2.113,0,,,,,0,,,,,,,,,,,,
1.61E+10,"Oct 15, 2025, 5:10:25 AM",Morning Walk,Walk,,753,0.49,,,FALSE,,,activities/16145215398.gpx,,,753,400,498.4,2.527,1.246,4,0,-3.4,0.6,12.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1760504400,1,30.5,34.2,23.7,0.67,1010.6,1.3,3.7,171,0,1760494657,1760536339,0.875,,,0,1,0.06,20923,3,,,,,,0.662,0,,,,654,0,,,,,,,,,,,,
1.62E+10,"Oct 15, 2025, 2:24:18 PM",Evening Walk,Walk,,1027,0.39,,,FALSE,,,activities/16149528443.gpx,,,1027,283,398,4.38,1.406,0,0,1.1,2.1,3.1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1760536800,1,31.1,31.1,24.2,0.67,1007.5,4.5,7.2,308,0,1760494657,1760536338,0.875,,,0,1,0.02,21393,0,,,,,,0.388,0,,,,458,0,,,,,,,,,,,,
1.62E+10,"Oct 19, 2025, 2:45:18 AM",Morning Ride,Ride,,800,10.61,,,FALSE,,,activities/16186416270.gpx,,9,800,753,10613.3,28.48,14.095,53.3,48.7,-13,7,31.5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1760839200,1,24.4,24.3,19.5,0.74,1010.7,2,2.9,155,0,1760840376,1760881725,0.875,,,0.52,5,0,19970,0,,,,,,13.267,0,,,,,0,,,,,,,,,,,,
1.62E+10,"Oct 19, 2025, 6:20:56 AM",Morning Walk,Walk,,263,0,,,FALSE,,,activities/16186981395.gpx,,,263,12,1.5,0.188,0.129,0,0,10.4,10.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1760853600,1,30.7,33.8,20.4,0.54,1012.2,1.8,3.9,240,0,1760840233,1760881517,0.875,,,0,5,0,21506,6,,,,,,0.006,0,,,,,0,,,,,,,,,,,,
1.63E+10,"Oct 26, 2025, 2:46:01 AM",Morning Ride,Ride,,1260,9.92,,,FALSE,,,activities/16257268664.gpx,,9,1260,789,9919.6,29.46,12.572,90.5,84.2,-13,49.9,49,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1761444000,1,22.7,22.7,19.9,0.84,1010.2,2,2.9,164,0,1761445400,1761486180,0.125,,,0,5,0.01,21070,0,,,,,,7.873,0,,,,,0,,,,,,,,,,,,
